i,stock
0,100
1,90
2,95
3,80
4,65
5,70
6,60
7,45
8,55
9,65
10,55
11,40
12,35
13,25
14,10
15,15
16,25
17,35
18,25
19,40
20,30
21,40
22,45
23,55
24,70
25,75
26,85
27,75
28,65
29,50
30,55
31,60
32,70
33,65
34,55
35,45
36,55
37,65
38,80
39,95
40,105
41,115
42,100
43,85
44,75
45,85
46,75
47,90
48,75
49,90
50,85
51,70
52,85
53,95
54,105
55,100
56,90
57,85
58,95
59,100
60,115
61,125
62,120
63,110
64,95
65,85
66,90
67,100
68,105
69,95
70,80
71,85
72,80
73,65
74,55
75,60
76,45
77,55
78,60
79,45
