i,stock
0,100
1,110
2,115
3,110
4,105
5,115
6,125
7,115
8,125
9,135
10,150
11,135
12,140
13,150
14,160
15,165
16,155
17,140
18,145
19,160
20,175
21,185
22,200
23,205
24,215
25,220
26,215
27,200
28,190
29,205
30,215
31,200
32,195
33,190
34,185
35,170
36,155
37,170
38,185
39,190
40,185
41,175
42,185
43,195
44,190
45,200
46,185
47,180
48,170
49,185
50,190
51,195
52,180
53,170
54,165
55,170
56,155
57,150
58,160
59,155
60,140
61,125
62,140
63,145
64,140
65,145
66,160
67,165
68,180
69,185
70,170
71,180
72,190
73,175
74,160
75,155
76,170
77,165
78,160
79,165
