i,stock
0,100
1,90
2,85
3,100
4,85
5,90
6,95
7,105
8,90
9,100
10,115
11,130
12,135
13,145
14,130
15,115
16,105
17,90
18,105
19,110
20,115
21,125
22,135
23,120
24,110
25,105
26,115
27,130
28,125
29,110
30,100
31,95
32,80
33,85
34,90
35,95
36,100
37,90
38,105
39,100
40,85
41,80
42,90
43,100
44,90
45,85
46,80
47,90
48,85
49,100
50,90
51,85
52,95
53,110
54,95
55,90
56,105
57,115
58,125
59,140
60,150
61,135
62,150
63,160
64,165
65,160
66,155
67,170
68,165
69,150
70,145
71,140
72,130
73,140
74,150
75,155
76,160
77,155
78,160
79,175
